Datetime,Close,Ensemble_Signal,CB_Signal,Equity_Ensemble,Equity_CB,Equity_BH,Weight_CB,Weight_KAN,Weight_Mamba,Ensemble_PnL,CB_PnL
2026-02-19 13:51:00,76314,-1,0,-0.0021990113314368093,0.0,0.0021990113314368093,0.19405998,0.18600379,0.6199362,-0.0021990113314368093,0.0
2026-02-19 13:52:00,76291,-1,0,-0.00498706248461336,0.0,0.00498706248461336,0.22171468,0.18298554,0.5952998,-0.0027880511531765506,0.0
2026-02-19 13:53:00,76293,1,0,-0.0026605358982983236,0.0,0.007513589070928397,0.1997156,0.18584348,0.6144409,0.0023265265863150367,0.0
2026-02-19 13:55:00,76302,1,0,0.0003754003757934976,0.0,0.010549525345020218,0.19841418,0.2060808,0.59550506,0.0030359362740918212,0.0
2026-02-19 13:56:00,76341,1,0,0.003814548556179785,0.0,0.013988673525406505,0.19811328,0.20669585,0.5951909,0.0034391481803862874,0.0
2026-02-19 13:57:00,76341,0,0,0.003714548556179785,0.0,0.016983882126511696,0.20170364,0.20159985,0.59669656,-0.0001,0.0
2026-02-19 13:58:00,76350,0,0,0.003714548556179785,0.0,0.019991796511018716,0.18826844,0.1951694,0.6165621,0.0,0.0
2026-02-19 13:59:00,76342,1,0,0.0067272490461451505,0.0,0.023104497000984082,0.19834584,0.18849814,0.613156,0.0030127004899653653,0.0
2026-02-19 15:17:00,76658,1,0,0.006127001099630641,0.0,0.02250424905446957,0.2147724,0.18776302,0.59746456,-0.0006002479465145093,-0.0
2026-02-19 15:18:00,76667,0,0,0.006027001099630641,0.0,0.021825761012888294,0.211607,0.1933193,0.59507376,-0.0001,-0.0
2026-02-19 15:19:00,76655,-1,0,0.00656643320133388,0.0,0.021186328911185055,0.21650332,0.18651825,0.5969784,0.0005394321017032387,-0.0
2026-02-19 15:20:00,76655,1,0,0.005753108374424286,0.0,0.02057300408427546,0.20422274,0.20144638,0.59433097,-0.0008133248269095945,-0.0
2026-02-19 15:21:00,76656,-1,0,0.006362243818243083,0.0,0.019763868640456664,0.18325499,0.19945298,0.6172921,0.0006091354438187967,-0.0
2026-02-19 15:22:00,76655,-1,0,0.007001675919946321,0.0,0.019124436538753425,0.17995906,0.20046124,0.6195797,0.0006394321017032387,-0.0
2026-02-19 15:23:00,76654,-1,0,0.007510585103691419,0.0,0.018615527355008328,0.18163483,0.19967312,0.618692,0.0005089091837450979,-0.0
2026-02-19 15:27:00,76612,-1,0,0.006766852969540359,0.0,0.019359259489159387,0.18836787,0.19348793,0.6181442,-0.0007437321341510604,0.0
2026-02-19 15:28:00,76615,-1,0,0.006023149946750389,0.0,0.020102962511949356,0.2036304,0.19548465,0.600885,-0.00074370302278997,0.0
2026-02-19 15:29:00,76606,-1,0,0.005109800631550939,0.0,0.021016311827148807,0.20563318,0.19378528,0.6005815,-0.0009133493151994501,0.0
2026-02-19 15:30:00,76608,-1,0,0.004170392389615056,0.0,0.02195572006908469,0.203888,0.19554096,0.60057104,-0.0009394082419358841,0.0
2026-02-19 15:31:00,76594,-1,0,0.0029178153097946594,0.0,0.023208297148905085,0.2117323,0.19090249,0.5973652,-0.0012525770798203961,0.0
2026-02-19 15:32:00,76606,-1,0,0.001769739515066555,0.0,0.02435637294363319,0.19241075,0.20299487,0.6045944,-0.0011480757947281044,0.0
2026-02-19 15:33:00,76615,0,0,0.0016697395150665549,0.0,0.025191369795675676,0.19937997,0.19451284,0.6061072,-0.0001,0.0
2026-02-19 15:34:00,76622,-1,0,0.0007608996343033922,0.0,0.02600020967643884,0.19892657,0.19959946,0.601474,-0.0009088398807631626,0.0
2026-02-19 15:49:00,76682,0,0,0.0006608996343033922,0.0,0.025152193656826322,0.22215126,0.18150288,0.59634584,-0.0001,-0.0
2026-02-19 15:50:00,76694,0,0,0.0006608996343033922,0.0,0.024382606652254904,0.20790009,0.2004713,0.5916287,-0.0,-0.0
